id,name,license_id,address_number,address_street_name,ssn,birth_date,profession,annual_income,height,eye_color
10,Elijah Armstrong,10001,200,Hillside Manor,123456789,19710312,CEO,28000000,188,blue
20,Maya Davidson,10002,75,Skyline Drive,987654321,19780520,COO,3500000,175,hazel
30,Viktor Radek,10003,1200,Marina Boulevard,456789123,19850618,CTO,3200000,182,brown
40,Sarah Chen,10004,42,Sunset Avenue,789123456,19820704,CFO,3100000,168,green
50,Marcus Taylor,10005,835,Highland Terrace,321654987,19760925,Security Director,180000,180,brown
60,Emma Rodriguez,10006,15,Lakeview Court,654987321,19880315,Executive Assistant,95000,170,brown
70,Robert Li,10007,375,Cedar Street,147258369,19710805,Board Member,0,175,blue
80,Jessica Parker,10008,922,Elm Road,258369147,19941023,Security Analyst,85000,165,blue
90,David Okafor,10009,188,Pine Avenue,369147258,19910702,Software Engineer,135000,177,brown
100,Thomas Wright,10010,543,Maple Lane,741852963,19770618,Investment Banker,950000,183,green
110,Dr. Sophia Zhang,10011,42,University Heights,565748392,19850320,Quantum Physicist,180000,165,brown
120,Dr. Alan Peterson,10012,15,Research Park Drive,645738291,19780505,Research Director,225000,182,blue
130,Dr. Leila Amari,10013,78,College Terrace,827465839,19880710,Quantum Researcher,160000,175,hazel
140,Dr. Claire Wilson,10014,90,Innovation Row,394857263,19810428,Cybersecurity Specialist,175000,178,green
150,Richard Gao,10015,255,Enterprise Avenue,748596032,19730615,Security Chief,120000,180,brown
160,Ambassador Victor Petrov,10016,45,Rue du Rhône,938271645,19680212,Diplomat,220000,183,blue
170,Natasha Orlova,10017,22,Rue des Alpes,827163594,19750530,Diplomatic Attaché,110000,175,brown
180,Michael Reynolds,10018,30,Avenue de France,736459281,19710825,Security Director,165000,180,green
190,Sophia Laurent,10019,15,Rue du Mont-Blanc,647382915,19850707,Intelligence Officer,145000,172,hazel
200,Ambassador Wei Chen,10020,33,Quai Wilson,536472819,19630418,Diplomat,210000,178,gray
210,Dr. Marcus Chen,10021,375,Hillside Avenue,192837465,19780215,Chief of Surgery,350000,175,brown
220,Nurse Rebecca Torres,10022,42,Cedar Lane,291837564,19850530,Head Nurse,95000,168,blue
230,Dr. Harold Jenkins,10023,19,Highland Drive,382746519,19710612,Hospital Administrator,275000,182,hazel
240,Dr. Emily Watson,10024,88,Willow Street,473829156,19870904,Pharmacologist,210000,165,green
250,Carl Simmons,10025,55,Oak Road,564738291,19810320,Security Director,85000,178,brown
260,Isabella Fontaine,10026,28,Artisan Lane,726354198,19810528,Art Curator,120000,170,brown
270,Gregory Peck,10027,15,Museum Road,635241897,19780712,Security Chief,88000,185,blue
280,Dr. Lawrence Howard,10028,92,University Blvd,544332198,19680325,Egyptologist,105000,175,brown
290,Vanessa Reed,10029,44,Gallery Place,433221987,19851104,Restoration Specialist,95000,172,green
300,Charles Wellington,10030,77,Heritage Drive,322119876,19630210,Insurance Adjuster,130000,178,blue
